dataset_group,scenario,training_id,experiment_id,imsi,time_prev,time_curr,src_rh,dst_rh,src_rnti,dst_rnti,src_slice_id,dst_slice_id,dt_ms,dl_rate_before_mbps,ul_rate_before_mbps,dl_buffer_before_bytes,ul_buffer_before_bytes,dl_cqi_before,ul_sinr_before,handover_confidence,reason
slice_mixed,rome_slow_close,tr0,exp1,1010123456026,1602351583627,1602351715402,bs3,bs2,96,241,1,1,131775,0.0629076,0.0,0,0,0.1,0.0,medium,large_timestamp_gap
slice_mixed,rome_slow_close,tr0,exp1,1010123456027,1602351811877,1602351815152,bs3,bs2,70,255,2,2,3275,0.0254458,0.0,70,0,1.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp2,1010123456009,1602367081079,1602367402131,bs1,bs2,84,143,2,2,321052,0.0,0.0,183337,0,10.0,0.0,medium,large_timestamp_gap
slice_mixed,rome_slow_close,tr0,exp2,1010123456028,1602367234032,1602367343131,bs3,bs2,70,142,0,0,109099,0.0,0.0,184088,0,0.1,0.0,medium,large_timestamp_gap
slice_mixed,rome_slow_close,tr0,exp3,1010123456026,1602384000254,1602384025792,bs3,bs2,95,105,1,1,25538,0.046688,0.0,0,0,0.1,0.0,medium,large_timestamp_gap
slice_mixed,rome_slow_close,tr0,exp3,1010123456027,1602384197504,1602384225292,bs3,bs2,80,118,2,2,27788,0.029632,0.0,0,0,0.1,0.0,medium,large_timestamp_gap
slice_mixed,rome_slow_close,tr0,exp3,1010123456028,1602383913254,1602384271792,bs3,bs2,81,121,0,0,358538,0.0,0.0,183329,0,0.1,0.0,medium,large_timestamp_gap
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384326254,1602384326292,bs3,bs2,84,135,1,1,38,0.02576,0.0,0,0,10.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384326292,1602384326504,bs2,bs3,135,84,1,1,212,0.010848,0.1,0,0,8.0,2.94763,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384326504,1602384326542,bs3,bs2,84,135,1,1,38,0.056832,0.0,0,0,10.0,0.161833,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384326542,1602384326754,bs2,bs3,135,84,1,1,212,0.007232,0.1,0,0,3.0,2.35947,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384326754,1602384326792,bs3,bs2,84,135,1,1,38,0.015456,0.0,0,0,10.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384326792,1602384327004,bs2,bs3,135,84,1,1,212,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384327004,1602384327042,bs3,bs2,84,135,1,1,38,0.010304,0.0,0,0,10.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384327042,1602384327254,bs2,bs3,135,84,1,1,212,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384327254,1602384327292,bs3,bs2,84,135,1,1,38,0.031072,0.0,0,0,10.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1602384327292,1602384327504,bs2,bs3,135,84,1,1,212,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr0,exp4,1010123456026,1602431736220,1602431768396,bs3,bs2,79,96,1,1,32176,0.0,0.0,20034,0,0.1,0.0,medium,large_timestamp_gap
slice_mixed,rome_slow_close,tr0,exp4,1010123456027,1602431767470,1602431989378,bs3,bs1,78,125,2,2,221908,0.0,0.0,20034,0,8.0,0.0,medium,large_timestamp_gap
slice_mixed,rome_slow_close,tr1,exp2,1010123456027,1602368911341,1602368912207,bs3,bs2,72,88,2,2,866,0.023584,0.0,158,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp3,1010123456027,1602384144029,1602384146058,bs3,bs2,71,137,2,2,2029,0.0268594,0.0,74,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430131942,1602430132018,bs3,bs1,84,81,1,1,76,0.0372048,0.0,0,0,7.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430132018,1602430132192,bs1,bs3,81,84,1,1,174,0.012,0.1,0,0,14.0,1.38848,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430132192,1602430132268,bs3,bs1,84,81,1,1,76,0.0372691,0.0,0,0,4.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430132268,1602430132442,bs1,bs3,81,84,1,1,174,0.003616,0.1,0,0,0.1,1.2498,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430132442,1602430132518,bs3,bs1,84,81,1,1,76,0.0441446,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430132518,1602430132692,bs1,bs3,81,84,1,1,174,0.0,0.0,0,0,6.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430132692,1602430132768,bs3,bs1,84,81,1,1,76,0.0272771,0.0,0,0,6.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430132768,1602430132942,bs1,bs3,81,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430132942,1602430133018,bs3,bs1,84,81,1,1,76,0.043759,0.0,0,0,5.5,0.170862,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430133018,1602430133192,bs1,bs3,81,84,1,1,174,0.0,0.0,0,0,5.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430158442,1602430158519,bs3,bs1,84,83,1,1,77,0.0328032,0.0,0,0,5.25,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430158519,1602430158692,bs1,bs3,83,84,1,1,173,0.00854183,0.1,0,0,1.0,1.54708,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430158692,1602430158768,bs3,bs1,84,83,1,1,76,0.0658956,0.0,0,0,7.0,0.1,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430158768,1602430158942,bs1,bs3,83,84,1,1,174,0.00228112,0.1,0,0,4.0,1.54177,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430158942,1602430159018,bs3,bs1,84,83,1,1,76,0.027759,0.0,0,0,5.33333,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430159018,1602430159192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,8.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430159192,1602430159268,bs3,bs1,84,83,1,1,76,0.0492209,0.0,0,0,4.33333,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430159268,1602430159442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430159442,1602430159518,bs3,bs1,84,83,1,1,76,0.0351807,0.0,0,0,4.6,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430159518,1602430159692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,11.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430159692,1602430159768,bs3,bs1,84,83,1,1,76,0.0113414,0.0,0,0,7.0,0.1,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430159768,1602430159942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,4.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430159942,1602430160018,bs3,bs1,84,83,1,1,76,0.0372691,0.0,0,0,6.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430160018,1602430160192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,9.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430160192,1602430160268,bs3,bs1,84,83,1,1,76,0.0488353,0.0,0,0,6.5,0.242045,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430160268,1602430160442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,4.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430160442,1602430160518,bs3,bs1,84,83,1,1,76,0.0535904,0.0,0,0,8.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430160518,1602430160692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,11.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430160692,1602430160768,bs3,bs1,84,83,1,1,76,0.0383614,0.0,0,0,8.0,0.24947,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430160768,1602430160942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430160942,1602430161018,bs3,bs1,84,83,1,1,76,0.0434378,0.0,0,0,6.6,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430161018,1602430161192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,3.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430161192,1602430161268,bs3,bs1,84,83,1,1,76,0.0560643,0.0,158,0,7.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430161268,1602430161442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430161442,1602430161518,bs3,bs1,84,83,1,1,76,0.0316787,0.0,158,0,9.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430161518,1602430161692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430161692,1602430161768,bs3,bs1,84,83,1,1,76,0.0444016,0.0,0,0,4.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430161768,1602430161943,bs1,bs3,83,84,1,1,175,0.0,0.0,0,0,4.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430161943,1602430162018,bs3,bs1,84,83,1,1,75,0.021408,0.0,0,0,4.8,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430162018,1602430162193,bs1,bs3,83,84,1,1,175,0.0,0.0,0,0,10.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430162193,1602430162268,bs3,bs1,84,83,1,1,75,0.016224,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430162268,1602430162442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,11.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430162442,1602430162518,bs3,bs1,84,83,1,1,76,0.0325462,0.0,0,0,6.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430162518,1602430162692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,8.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430162692,1602430162768,bs3,bs1,84,83,1,1,76,0.0304257,0.0,0,0,6.75,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430162768,1602430162942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430162942,1602430163018,bs3,bs1,84,83,1,1,76,0.0134618,0.0,0,0,5.4,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430163018,1602430163192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,5.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430163192,1602430163268,bs3,bs1,84,83,1,1,76,0.0347952,0.0,0,0,3.8,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430163268,1602430163442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,5.33333,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430163442,1602430163518,bs3,bs1,84,83,1,1,76,0.0775582,0.0,0,0,5.25,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430163518,1602430163692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,1.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430163692,1602430163768,bs3,bs1,84,83,1,1,76,0.0326426,0.0,0,0,4.66667,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430163768,1602430163942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,9.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430163942,1602430164018,bs3,bs1,84,83,1,1,76,0.0726747,0.0,0,0,5.5,0.1,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430164018,1602430164192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,14.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430164192,1602430164268,bs3,bs1,84,83,1,1,76,0.0440803,0.0,158,0,4.66667,0.116683,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430164268,1602430164442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430164442,1602430164518,bs3,bs1,84,83,1,1,76,0.0279839,0.0,0,0,4.0,0.156987,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430164518,1602430164692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430164692,1602430164768,bs3,bs1,84,83,1,1,76,0.0278876,0.0,0,0,0.1,0.1,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430164768,1602430164942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,9.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430164942,1602430165018,bs3,bs1,84,83,1,1,76,0.029494,0.0,11,0,1.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430165018,1602430165192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,6.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430165192,1602430165268,bs3,bs1,84,83,1,1,76,0.0448514,0.0,0,0,5.25,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430165268,1602430165442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,1.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430165442,1602430165518,bs3,bs1,84,83,1,1,76,0.0310361,0.0,0,0,4.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430165518,1602430165692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,5.75,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430165692,1602430165768,bs3,bs1,84,83,1,1,76,0.0717108,0.0,0,0,5.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430165768,1602430165942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430165942,1602430166018,bs3,bs1,84,83,1,1,76,0.0346667,0.0,0,0,4.0,0.246734,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430166018,1602430166192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,8.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430166192,1602430166268,bs3,bs1,84,83,1,1,76,0.0309076,0.0,0,0,6.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430166268,1602430166443,bs1,bs3,83,84,1,1,175,0.0,0.0,0,0,2.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430166443,1602430166518,bs3,bs1,84,83,1,1,75,0.027456,0.0,0,0,7.33333,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430166518,1602430166692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,5.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430166692,1602430166768,bs3,bs1,84,83,1,1,76,0.0281125,0.0,0,0,4.5,0.198187,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430166768,1602430166942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430166942,1602430167018,bs3,bs1,84,83,1,1,76,0.0409317,0.0,0,0,2.33333,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430167018,1602430167192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,6.33333,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430167192,1602430167268,bs3,bs1,84,83,1,1,76,0.0338635,0.0,0,0,6.33333,0.0,high,clear_consecutive_rh_change
