dataset_group,scenario,training_id,experiment_id,imsi,num_records,min_time,max_time,unique_base_station_count,base_stations_observed,unique_rnti_count,rnti_values,rnti_change_count,unique_slice_id_count,slice_ids_observed,appears_in_more_than_one_base_station,sequential_multi_bs_timestamps,same_timestamp_multi_bs_count,ambiguous_multi_bs_observation
slice_mixed,rome_slow_close,tr0,exp1,1010123456002,1801,1602351509723.0,1602351959723.0,1,bs1,1,79,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456003,1818,1602351505473.0,1602351959723.0,1,bs1,1,78,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456004,1819,1602351505223.0,1602351959723.0,1,bs1,1,76,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456005,1821,1602351504723.0,1602351959723.0,1,bs1,1,73,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456006,1816,1602351505973.0,1602351959723.0,1,bs1,1,71,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456007,1759,1602351504723.0,1602351944223.0,1,bs1,1,74,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456008,1820,1602351504223.0,1602351958973.0,1,bs1,1,70,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456009,1603,1602351506223.0,1602351906723.0,1,bs1,1,77,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456010,130,1602351505723.0,1602351537973.0,1,bs1,1,72,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456011,1820,1602351504973.0,1602351959723.0,1,bs1,1,75,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456013,56,1602351505402.0,1602351519152.0,1,bs2,1,79,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456014,796,1602351504902.0,1602351703652.0,1,bs2,1,78,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456015,970,1602351504652.0,1602351746902.0,1,bs2,1,75,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456016,969,1602351504402.0,1602351746402.0,1,bs2,1,74,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456017,972,1602351504402.0,1602351747173.0,1,bs2,1,77,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456018,972,1602351504152.0,1602351746902.0,1,bs2,1,72,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456019,966,1602351504902.0,1602351746152.0,1,bs2,1,80,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456020,520,1602351503152.0,1602351632902.0,1,bs2,1,70,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456021,1066,1602351503902.0,1602351806152.0,1,bs2,3,245;249;73,2,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456022,34,1602351505152.0,1602351513402.0,1,bs2,1,76,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456026,93,1602351561877.0,1602351716402.0,2,bs2;bs3,2,241;96,0,1,1,True,True,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456027,1473,1602351504127.0,1602351875152.0,2,bs2;bs3,2,255;70,0,1,2,True,True,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456024,1853,1602351504627.0,1602351967627.0,1,bs3,1,77,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456025,244,1602351504878.0,1602351565627.0,1,bs3,1,82,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456028,1633,1602351505627.0,1602351914627.0,1,bs3,2,72;97,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456029,1851,1602351505128.0,1602351967627.0,1,bs3,1,87,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456030,1854,1602351504377.0,1602351967627.0,1,bs3,1,73,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456031,1842,1602351504627.0,1602351967627.0,1,bs3,2,78;98,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456032,1455,1602351504627.0,1602351868127.0,1,bs3,1,83,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456033,1848,1602351505877.0,1602351967627.0,1,bs3,1,80,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456035,255,1602351504958.0,1602351568498.0,1,bs4,1,84,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456036,254,1602351504958.0,1602351568208.0,1,bs4,1,88,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456037,244,1602351504708.0,1602351565458.0,1,bs4,1,81,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456038,454,1602351512458.0,1602351625708.0,1,bs4,1,101,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456039,254,1602351504958.0,1602351568208.0,1,bs4,1,82,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456040,247,1602351504208.0,1602351565737.0,1,bs4,1,74,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456041,256,1602351504458.0,1602351568208.0,1,bs4,1,76,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456042,255,1602351504708.0,1602351568208.0,1,bs4,1,83,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456043,243,1602351505208.0,1602351565737.0,1,bs4,1,79,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp1,1010123456044,352,1602351480708.0,1602351568498.0,1,bs4,1,70,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456002,505,1602366954717.0,1602367080717.0,1,bs1,1,77,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456003,507,1602366954217.0,1602367080717.0,1,bs1,1,80,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456004,505,1602366953967.0,1602367080717.0,1,bs1,2,106;73,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456005,506,1602366954217.0,1602367080467.0,1,bs1,1,78,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456006,479,1602366961217.0,1602367080717.0,1,bs1,1,95,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456007,1819,1602366954717.0,1602367410217.0,1,bs1,2,109;82,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456008,506,1602366954467.0,1602367080717.0,1,bs1,1,79,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456009,553,1602366955717.0,1602367414631.0,2,bs1;bs2,2,143;84,0,1,2,True,True,0,False
