time,num_ues,imsi,rnti,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer_bytes,tx_brate_dl_mbps,tx_pkts_downlink,tx_errors_downlink_pct,dl_cqi,ul_mcs,ul_n_samples,ul_buffer_bytes,rx_brate_ul_mbps,rx_pkts_uplink,rx_errors_uplink_pct,ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file
1602351509723,10,1010123456002,79,1,1,4,1,0,3.3617,47,0,0.0104096,19,0,7.5,0.1,40,0,0.1,17,0.0,0,3.42285,31,61,46,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351509973,10,1010123456002,79,1,1,4,1,0,11.2857,7,0,0.00738956,3,0,8.0,0.1,22,0,0.1,9,0.0,0,4.15045,31,22,8,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351510223,10,1010123456002,79,1,1,4,1,0,8.07843,51,0,0.0226506,19,0,6.5,0.1,49,0,0.1,21,4.7619,0,3.24931,31,231,44,0,0,0,1.55102,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351510473,10,1010123456002,79,1,1,4,1,0,9.43333,30,0,0.021792,12,0,9.33333,0.1,47,0,0.1,18,0.0,0,3.41723,31,124,36,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351510723,10,1010123456002,79,1,1,4,1,0,7.29787,47,0,0.0228434,20,0,6.0,0.0,0,0,0.0,0,0.0,0,0.0,0,209,48,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351510973,10,1010123456002,79,1,1,4,1,0,7.14925,67,0,0.028544,27,0,6.75,0.1,16,0,0.1,6,0.0,0,3.30062,31,294,62,0,0,0,1.1875,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351511223,10,1010123456002,79,1,1,4,1,0,8.26923,26,0,0.01648,10,0,7.0,0.0,0,0,0.0,0,0.0,0,0.0,0,87,30,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351511473,10,1010123456002,79,1,1,4,1,0,9.96429,28,0,0.016544,11,0,7.33333,0.0,0,0,0.0,0,0.0,0,0.0,0,133,26,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351511723,10,1010123456002,79,1,1,4,1,0,0.0,0,0,0.0,0,0,7.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351511973,10,1010123456002,79,1,1,4,1,0,11.0,36,0,0.0269237,14,0,10.0,0.1,16,0,0.1,6,0.0,0,3.59779,31,101,36,0,0,0,1.1875,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
