scope,pool_type,topology_id,constraint_mode,missing_direct_rc_link,missing_rh_es_link,missing_es_rc_link,es_capacity_exceeded,rc_capacity_exceeded,bandwidth_exceeded,e2e_latency_exceeded,crosshaul_latency_exceeded
train,train,paper_small_topology_a,strict_connectivity_plus_capacity,0,0,0,5760,0,0,4952,5760
train,train,paper_small_topology_c,strict_connectivity_plus_capacity,0,0,0,6595,0,0,5508,6595
train,train,paper_small_topology_d,strict_connectivity_plus_capacity,0,0,0,6447,0,0,4791,6447
train,train,paper_small_topology_e,strict_connectivity_plus_capacity,0,0,0,6664,0,0,4778,6662
train,train,paper_small_topology_b,strict_connectivity_plus_capacity,0,0,0,6879,0,0,5275,6879
eval,train,paper_small_topology_a,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
eval,train,paper_small_topology_b,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
eval,train,paper_small_topology_c,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
eval,train,paper_small_topology_d,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
eval,train,paper_small_topology_e,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
eval,test,paper_small_topology_a,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
eval,test,paper_small_topology_b,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
eval,test,paper_small_topology_c,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
eval,test,paper_small_topology_d,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
eval,test,paper_small_topology_e,strict_connectivity_plus_capacity,0,0,0,0,0,0,0,0
