episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
0,small,small_balanced_train_a,train,legacy,9.85470383737873,61.37869609832764,1.0,0.19709407674757462,70.27101977905609,2018.7207775115967,82.5978376624832,523.0,444.61618411540985,103,132,144,21,227.0,160.0,136.0,523.0,1.0,True,True
1,small,small_clustered_train_b,train,legacy,9.868136859071978,60.80944019317627,1.0,0.19736273718143957,69.43266786725724,2008.1891345977783,79.12154699941259,522.0,431.16135597229004,93,149,120,38,223.0,161.0,138.0,522.0,1.0,True,True
2,small,small_clustered_train_b,train,legacy,9.754956987681515,63.350924758911134,1.0,0.1950991397536303,70.980558077014,2158.67382144928,75.39073902049178,552.0,381.4816722869873,92,151,116,41,234.0,177.0,141.0,552.0,1.0,True,True
3,small,small_clustered_train_b,train,legacy,9.705379971137505,65.81612976074219,1.0,0.1941075994227501,75.10620244342068,2188.919595718384,79.38328561784219,558.0,464.50362038612366,101,150,100,49,239.0,156.0,163.0,558.0,1.0,True,True
4,small,small_clustered_train_b,train,legacy,9.653002972024048,68.26573417663575,1.0,0.19306005944048096,77.6934169615654,2326.056516647339,79.84607145320942,536.0,471.3841325044632,101,163,92,44,223.0,142.0,171.0,536.0,0.0,True,False
5,small,small_balanced_train_a,train,legacy,9.602622679230725,68.89397918701172,1.0,0.1920524535846145,79.41042646506573,2291.6240196228027,85.25253287280835,542.0,525.8223843574524,131,165,94,10,226.0,155.0,161.0,542.0,0.0,True,False
6,small,small_balanced_train_a,train,legacy,9.698993306551321,65.87513053894043,1.0,0.1939798661310264,74.80570146347122,2220.6385707855225,82.58945383228321,544.0,446.5285255908966,121,164,102,13,210.0,171.0,163.0,544.0,0.0,True,False
7,small,small_balanced_train_a,train,legacy,9.707203741367099,66.05590194702148,1.0,0.19414407482734197,76.1936380553504,2185.6833534240723,82.22494060512129,528.0,506.8868055343628,128,149,109,14,215.0,163.0,150.0,528.0,1.0,True,True
8,small,small_clustered_train_b,train,legacy,9.658425599896256,68.32779808044434,1.0,0.19316851199792512,77.9739037693323,2360.335796356201,81.74877416150028,492.0,482.3053102493286,104,150,104,42,200.0,148.0,144.0,492.0,0.0,True,False
9,small,small_balanced_train_a,train,legacy,9.82266133091174,61.43242919921875,1.0,0.1964532266182348,70.31686133131075,2011.156063079834,80.2438103229761,536.0,444.2215938568115,127,140,120,13,222.0,145.0,169.0,536.0,1.0,True,True
10,small,small_clustered_train_b,train,legacy,9.746483312059038,63.58833076477051,1.0,0.19492966624118074,72.27903559001119,2166.8105907440186,84.0706714401042,494.0,434.53526067733765,99,160,99,42,210.0,131.0,153.0,494.0,1.0,True,True
11,small,small_clustered_train_b,train,legacy,9.694547880486269,65.16701225280762,1.0,0.19389095760972538,72.48069749668228,2315.274007797241,77.39233594728128,500.0,365.68426537513733,100,154,92,54,193.0,154.0,153.0,500.0,0.0,True,False
12,small,small_balanced_train_a,train,legacy,9.806429274177939,63.0492168045044,1.0,0.19612858548355877,73.21830633089371,2072.763309955597,83.2430374343492,488.0,508.4544868469238,113,153,122,12,200.0,118.0,170.0,488.0,1.0,True,True
13,small,small_clustered_train_b,train,legacy,9.73623260436633,64.48746948242187,1.0,0.19472465208732662,72.91335159948382,2249.3029251098633,75.7764021407295,478.0,421.2941269874573,93,153,99,55,199.0,141.0,138.0,478.0,1.0,True,True
14,small,small_balanced_train_a,train,legacy,9.847316755160417,60.62647144317627,1.0,0.19694633510320833,68.5164963803222,2063.096236228943,81.72602492278683,492.0,394.501278758049,108,164,115,13,209.0,132.0,151.0,492.0,1.0,True,True
15,small,small_balanced_train_a,train,legacy,9.92992419948544,58.11667572021484,1.0,0.19859848398970878,66.1337405149626,1954.3534984588623,79.62702309558,471.0,400.8532544374466,100,180,114,6,191.0,134.0,146.0,471.0,1.0,True,True
16,small,small_clustered_train_b,train,legacy,9.776065642273274,62.31538047790527,1.0,0.19552131284546548,69.0412696378022,2216.1730012893677,70.30152802887373,493.0,336.29447650909424,61,182,99,58,193.0,148.0,152.0,493.0,1.0,True,True
17,small,small_clustered_train_b,train,legacy,9.782719145404071,62.072459030151364,1.0,0.19565438290808143,68.75175290829446,2244.9014797210693,75.75674438942744,449.0,333.96471214294434,81,169,105,45,181.0,130.0,138.0,449.0,1.0,True,True
18,small,small_balanced_train_a,train,legacy,9.804066373870747,62.216972465515134,1.0,0.19608132747741494,70.53929695810453,2114.922764778137,82.80960514571291,497.0,416.11624002456665,104,184,100,12,189.0,144.0,164.0,497.0,1.0,True,True
19,small,small_balanced_train_a,train,legacy,9.746417084356501,63.52675720214844,1.0,0.19492834168713002,72.52668873387483,2132.710988998413,84.63033109300342,509.0,449.9965579509735,95,180,114,11,203.0,144.0,162.0,509.0,1.0,True,True
20,small,small_balanced_train_a,train,legacy,9.826055776259947,61.44366088867187,1.0,0.19652111552519894,70.22161533331733,2068.665367126465,87.620006864574,477.0,438.89769530296326,89,178,118,15,185.0,144.0,148.0,477.0,0.0,True,False
21,small,small_balanced_train_a,train,legacy,9.736197721537474,65.42081344604492,1.0,0.19472395443074947,76.28831307452754,2193.9239253997803,86.74181348055802,447.0,543.3749563694,97,197,97,9,175.0,127.0,145.0,447.0,1.0,True,True
22,small,small_clustered_train_b,train,legacy,9.689403299636606,65.62512763977051,1.0,0.19378806599273213,73.22183982593879,2415.2561473846436,74.1645976156041,412.0,379.83562183380127,73,190,84,53,169.0,124.0,119.0,412.0,1.0,True,True
23,small,small_balanced_train_a,train,legacy,9.601191244879193,69.5254948425293,1.0,0.19202382489758385,80.49429794828167,2353.8908615112305,92.94374633528719,481.0,548.4401450157166,85,205,97,13,190.0,130.0,161.0,481.0,1.0,True,True
24,small,small_clustered_train_b,train,legacy,9.81061724208727,62.90759559631348,1.0,0.1962123448417454,70.62893227483754,2236.0284547805786,71.284497540476,452.0,386.0668306350708,76,185,89,50,158.0,144.0,150.0,452.0,1.0,True,True
25,small,small_clustered_train_b,train,legacy,9.822915765141081,60.9745231628418,1.0,0.19645831530282162,67.27773869888392,2255.1450786590576,71.42036239037084,407.0,315.16074657440186,76,188,84,52,160.0,115.0,132.0,407.0,1.0,True,True
26,small,small_balanced_train_a,train,legacy,9.843362963175021,61.657993392944334,1.0,0.19686725926350043,69.84523049844765,2134.0878295898438,85.4499778600812,454.0,409.3618597984314,79,208,100,13,194.0,106.0,154.0,454.0,1.0,True,True
27,small,small_balanced_train_a,train,legacy,9.761621693991831,65.03969688415528,1.0,0.19523243387983663,74.39530439354782,2270.5865421295166,79.61791509021727,434.0,467.78038001060486,100,202,82,16,169.0,124.0,141.0,434.0,0.0,True,False
28,small,small_clustered_train_b,train,legacy,9.715037936322874,65.40905982971191,1.0,0.19430075872645747,73.31159462839187,2411.405885696411,71.92035590422766,392.0,395.12674379348755,59,211,79,51,144.0,114.0,134.0,392.0,0.0,True,False
