episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
0,small,small_balanced_train_a,train,strict_full,-1.4375,inf,0.0,-0.2875,52.866481874931786,167.98238372802734,7.2278356663154435,36.0,26.561094760894775,9,12,17,2,14.0,11.0,11.0,36.0,1.0,True,True
1,small,small_clustered_train_b,train,strict_full,-1.5,inf,0.0,-0.3,68.7055276698894,200.60382270812988,9.279609335241094,49.0,42.32210302352905,7,18,12,3,18.0,16.0,15.0,49.0,1.0,True,True
2,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,67.02359586002551,192.92813110351562,8.449659552584217,44.0,44.870094299316406,9,10,17,4,18.0,9.0,17.0,44.0,1.0,True,True
3,small,small_clustered_train_b,train,strict_full,-1.4375,inf,0.0,-0.2875,64.33194759556997,193.67193603515625,7.579209437047876,39.0,40.70429587364197,7,22,7,4,19.0,12.0,8.0,39.0,1.0,True,True
4,small,small_clustered_train_b,train,strict_full,-1.5,inf,0.0,-0.3,92.22262877466999,272.532808303833,8.061219178907201,40.0,70.25955820083618,9,19,7,5,13.0,17.0,10.0,40.0,0.0,True,False
5,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,66.26183455253936,200.39747619628906,9.463286997621132,48.0,36.724205017089844,7,13,17,3,19.0,17.0,12.0,48.0,0.0,True,False
6,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,64.21048025024518,175.2363624572754,9.48192799072787,32.0,52.16705513000488,6,15,18,1,12.0,8.0,12.0,32.0,0.0,True,False
7,small,small_balanced_train_a,train,strict_full,-1.4375,inf,0.0,-0.2875,64.399981122659,176.81975173950195,8.812825067488104,49.0,43.683664321899414,8,11,19,2,17.0,13.0,19.0,49.0,1.0,True,True
8,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,70.9663531252234,212.29453468322754,7.685090116854943,44.0,45.42607021331787,7,15,13,5,22.0,8.0,14.0,44.0,0.0,True,False
9,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,65.34163245252479,213.26694107055664,8.737619567387737,47.0,28.8518009185791,11,17,12,0,23.0,11.0,13.0,47.0,1.0,True,True
10,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,67.98816433062396,213.83461380004883,10.157135119001193,40.0,37.974536418914795,6,18,13,3,21.0,7.0,12.0,40.0,1.0,True,True
11,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,66.95967960673391,219.90292358398438,8.482031871941686,29.0,38.70672130584717,5,21,10,4,15.0,7.0,7.0,29.0,0.0,True,False
12,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,67.88545197552483,221.18285751342773,8.103025035323762,37.0,36.57068872451782,5,21,11,3,17.0,12.0,8.0,37.0,1.0,True,True
13,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,66.62359241962608,224.01398086547852,7.392133437546901,42.0,29.855923652648926,9,19,7,5,16.0,11.0,15.0,42.0,1.0,True,True
14,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,65.15416986810104,166.40934944152832,8.799781023854761,38.0,56.28085899353027,10,13,16,1,18.0,7.0,13.0,38.0,1.0,True,True
15,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,72.17493210445919,208.84313774108887,7.613326049067451,44.0,50.20909881591797,9,20,8,3,18.0,13.0,13.0,44.0,1.0,True,True
16,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,71.74843465761333,229.2065658569336,6.122887549312413,30.0,46.70636034011841,7,19,8,6,11.0,11.0,8.0,30.0,1.0,True,True
17,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,70.98886264687985,243.93032836914062,7.000605918191374,34.0,35.00668978691101,9,18,6,7,14.0,9.0,11.0,34.0,1.0,True,True
18,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,66.47245550092467,213.47603607177734,7.715911045921222,45.0,33.08516502380371,11,19,7,3,16.0,12.0,17.0,45.0,1.0,True,True
19,small,small_balanced_train_a,train,strict_full,-1.6875,inf,0.0,-0.3375,72.27500158407464,205.24948501586914,7.298849411309511,32.0,58.413336753845215,9,19,10,2,17.0,6.0,9.0,32.0,1.0,True,True
20,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,83.38800385189391,228.20832633972168,9.684437702004983,29.0,75.02362751960754,6,24,8,2,11.0,7.0,11.0,29.0,0.0,True,False
21,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,70.20002510526214,220.75877952575684,7.445874735333212,37.0,42.897735595703125,8,20,8,4,14.0,8.0,15.0,37.0,1.0,True,True
22,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,80.49578463479261,242.03720474243164,8.573249632703327,39.0,56.43423414230347,10,18,7,5,19.0,8.0,12.0,39.0,1.0,True,True
